Year,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of total world,Percentage of total world Footnote,Percentage of total world Missing value
1951,703,"Slovakia",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,703,"Slovakia",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,705,"Slovenia",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,705,"Slovenia",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,090,"Solomon Islands",02,"Exports",2.568,,,0.003099,,
1951,090,"Solomon Islands",01,"Imports",2.582,,,0.002914,,
1951,706,"Somalia",02,"Exports",7,"Estimated",,0.008446,"Estimated",
1951,706,"Somalia",01,"Imports",18,"Estimated",,0.020314,"Estimated",
1951,710,"South Africa",02,"Exports",1388.8,"Data refers to South Africa Customs Union",,1.675766,,
1951,710,"South Africa",01,"Imports",1406.58,"Data refers to South Africa Customs Union",,1.58739,,
1951,728,"South Sudan",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,728,"South Sudan",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,724,"Spain",02,"Exports",482,,,0.581595,,
1951,724,"Spain",01,"Imports",424,,,0.478503,,
1951,144,"Sri Lanka",02,"Exports",399.84,,,0.482459,,
1951,144,"Sri Lanka",01,"Imports",327.39,,,0.369475,,
1951,729,"Sudan",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,729,"Sudan",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,736,"Sudan (...2011)",02,"Exports",180.248,,,0.217492,,
1951,736,"Sudan (...2011)",01,"Imports",120.52,,,0.136012,,
1951,740,"Suriname",02,"Exports",20.68,,,0.024953,,
1951,740,"Suriname",01,"Imports",24.286,,,0.027408,,
1951,752,"Sweden",02,"Exports",1783.42,,,2.151926,,
1951,752,"Sweden",01,"Imports",1776.85,,,2.005256,,
1951,756,"Switzerland",02,"Exports",1072.73,,,1.294387,,
1951,756,"Switzerland",01,"Imports",1352.86,,,1.526764,,
1951,760,"Syrian Arab Republic",02,"Exports",87.6,,,0.105701,,
1951,760,"Syrian Arab Republic",01,"Imports",133,,,0.150097,,
1951,762,"Tajikistan",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,762,"Tajikistan",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,764,"Thailand",02,"Exports",370,,,0.446453,,
1951,764,"Thailand",01,"Imports",272,,,0.306964,,
1951,626,"Timor-Leste",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,626,"Timor-Leste",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,768,"Togo",02,"Exports",15,,,0.018099,,
1951,768,"Togo",01,"Imports",13,,,0.014671,,
1951,776,"Tonga",02,"Exports",0.3,,,0.000362,,
1951,776,"Tonga",01,"Imports",2,,,0.002257,,
1951,780,"Trinidad and Tobago",02,"Exports",125.358,,,0.151261,,
1951,780,"Trinidad and Tobago",01,"Imports",127.516,,,0.143908,,
1951,788,"Tunisia",02,"Exports",108.314,,,0.130695,,
1951,788,"Tunisia",01,"Imports",182.343,,,0.205782,,
1951,792,"Turkiye",02,"Exports",314.08,,,0.378978,,
1951,792,"Turkiye",01,"Imports",402.1,,,0.453788,,
1951,795,"Turkmenistan",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,795,"Turkmenistan",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,800,"Uganda",02,"Exports",133,,,0.160482,,
1951,800,"Uganda",01,"Imports",61.88,,,0.069834,,
1951,804,"Ukraine",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,804,"Ukraine",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,810,"Union of Soviet Socialist Republics",02,"Exports",2291,,,2.764387,,
1951,810,"Union of Soviet Socialist Republics",01,"Imports",1991,,,2.246934,,
1951,784,"United Arab Emirates",02,"Exports",2,,,0.002413,,
1951,784,"United Arab Emirates",01,"Imports",88,,,0.099312,,
1951,826,"United Kingdom",02,"Exports",7585.2,,,9.152523,,
1951,826,"United Kingdom",01,"Imports",10931.2,,,12.336358,,
1951,834,"United Republic of Tanzania",02,"Exports",110.67,,,0.133538,,
1951,834,"United Republic of Tanzania",01,"Imports",78.7,,,0.088817,,
1951,840,"United States",02,"Exports",13967,,,16.852988,,
1951,840,"United States",01,"Imports",11922,,,13.454521,,
1951,858,"Uruguay",02,"Exports",236.33,,,0.285163,,
1951,858,"Uruguay",01,"Imports",373.74,,,0.421783,,
1951,860,"Uzbekistan",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,860,"Uzbekistan",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,548,"Vanuatu",02,"Exports",6.377,,,0.007695,,
1951,548,"Vanuatu",01,"Imports",2.229,,,0.002516,,
1951,862,"Venezuela (Bolivarian Rep. of)",02,"Exports",1187.07,,,1.432353,,
1951,862,"Venezuela (Bolivarian Rep. of)",01,"Imports",764.993,,,0.863329,,
1951,704,"Viet Nam",02,"Exports",,,"Not publishable",,,"Not publishable"
1951,704,"Viet Nam",01,"Imports",,,"Not publishable",,,"Not publishable"
1951,887,"Yemen",02,"Exports",,,"Not applicable",,,"Not applicable"
1951,887,"Yemen",01,"Imports",,,"Not applicable",,,"Not applicable"
1951,886,"Yemen, Arab Republic",02,"Exports",9,,,0.01086,,
1951,886,"Yemen, Arab Republic",01,"Imports",10,,,0.011285,,
1951,720,"Yemen, Democratic",02,"Exports",124.32,,,0.150008,,
1951,720,"Yemen, Democratic",01,"Imports",140.84,,,0.158944,,
1951,890,"Yugoslavia, Soc. Fed. Rep. of",02,"Exports",178,,,0.21478,,
1951,890,"Yugoslavia, Soc. Fed. Rep. of",01,"Imports",384,,,0.433362,,
1951,894,"Zambia",02,"Exports",185.92,,,0.224336,,
1951,894,"Zambia",01,"Imports",55.44,,,0.062567,,
1951,716,"Zimbabwe",02,"Exports",128,,,0.154449,,
1951,716,"Zimbabwe",01,"Imports",277.2,,,0.312833,,
1951,5600,"Asia and Oceania",02,"Exports",16881.422,,,20.369614,,
1951,5600,"Asia and Oceania",01,"Imports",16934.988,,,19.111906,,
1951,5702,"Northern America and Europe",02,"Exports",51764.582,,,62.460649,,
1951,5702,"Northern America and Europe",01,"Imports",56390.71,,,63.639488,,
1951,5706,"Europe, Northern America, Australia and New Zealand",02,"Exports",54497.35,,,65.758086,,
1951,5706,"Europe, Northern America, Australia and New Zealand",01,"Imports",59340.868,,,66.968876,,
1951,5703,"Central and Southern Asia",02,"Exports",3823.313,,,4.613321,,
1951,5703,"Central and Southern Asia",01,"Imports",3078.628,,,3.474372,,
1951,5704,"Eastern and South-Eastern Asia",02,"Exports",8383.273,,,10.115501,,
1951,5704,"Eastern and South-Eastern Asia",01,"Imports",8860.718,,,9.999724,,
1951,5705,"Western Asia and Northern Africa",02,"Exports",3373.654,,,4.070749,,
1951,5705,"Western Asia and Northern Africa",01,"Imports",4000.557,,,4.514811,,
1951,1400,"Developing economies",02,"Exports",26928.108,,,32.492238,,
1951,1400,"Developing economies",01,"Imports",26770.687,,,30.211941,,
1951,1410,"Developing economies: Africa",02,"Exports",5553.722,,,6.701282,,
1951,1410,"Developing economies: Africa",01,"Imports",6124.75,,,6.91206,,
1951,1420,"Developing economies: Americas",02,"Exports",8675.785,,,10.468454,,
1951,1420,"Developing economies: Americas",01,"Imports",9159.174,,,10.336546,,
1951,1460,"Developing economies: Asia and Oceania",02,"Exports",12698.601,,,15.322501,,
1951,1460,"Developing economies: Asia and Oceania",01,"Imports",11486.763,,,12.963336,,
1951,1430,"Developing economies: Asia",02,"Exports",12610.107,,,15.215722,,
1951,1430,"Developing economies: Asia",01,"Imports",11371.592,,,12.83336,,
1951,1450,"Developing economies: Oceania",02,"Exports",88.494,,,0.106779,,
1951,1450,"Developing economies: Oceania",01,"Imports",115.171,,,0.129976,,
1951,1500,"Developed economies",02,"Exports",55947.403,,,67.507762,,
1951,1500,"Developed economies",01,"Imports",61838.935,,,69.788059,,
1951,1520,"Developed economies: Americas",02,"Exports",17889.819,,,21.586375,,
1951,1520,"Developed economies: Americas",01,"Imports",16067.911,,,18.13337,,
1951,1560,"Developed economies: Asia and Oceania",02,"Exports",4182.821,,,5.047113,,
1951,1560,"Developed economies: Asia and Oceania",01,"Imports",5448.225,,,6.14857,,
1951,1530,"Developed economies: Asia",02,"Exports",1450.053,,,1.749676,,
1951,1530,"Developed economies: Asia",01,"Imports",2498.067,,,2.819183,,
1951,1550,"Developed economies: Oceania",02,"Exports",2732.768,,,3.297437,,
1951,1550,"Developed economies: Oceania",01,"Imports",2950.158,,,3.329388,,
1951,1540,"Developed economies: Europe",02,"Exports",33874.763,,,40.874273,,
1951,1540,"Developed economies: Europe",01,"Imports",40322.799,,,45.506118,,
1951,1600,"Developing economies excluding China",02,"Exports",26168.108,,,31.5752,,
1951,1600,"Developing economies excluding China",01,"Imports",25570.687,,,28.857687,,
1951,1601,"Developing economies excluding LDCs",02,"Exports",24374.502,,,29.410982,,
1951,1601,"Developing economies excluding LDCs",01,"Imports",24539.608,,,27.694067,,
1951,1610,"LDCs (Least developed countries)",02,"Exports",2553.606,,,3.081255,,
1951,1610,"LDCs (Least developed countries)",01,"Imports",2231.079,,,2.517874,,
1951,1614,"LDCs: Africa",02,"Exports",1643.128,,,1.982646,,
1951,1614,"LDCs: Africa",01,"Imports",1522.089,,,1.717747,,
1951,1612,"LDCs: Asia",02,"Exports",846.93,,,1.02193,,
1951,1612,"LDCs: Asia",01,"Imports",654.892,,,0.739075,,
1951,1615,"LDCs: Islands and Haiti",02,"Exports",63.548,,,0.076679,,
1951,1615,"LDCs: Islands and Haiti",01,"Imports",54.098,,,0.061052,,
1951,1620,"LLDCs (Landlocked developing countries)",02,"Exports",825.083,,,0.995569,,
1951,1620,"LLDCs (Landlocked developing countries)",01,"Imports",792.288,,,0.894133,,
1951,1640,"SIDS (Small island developing States) (UN-OHRLLS)",02,"Exports",3736.758,,,4.508881,,
1951,1640,"SIDS (Small island developing States) (UN-OHRLLS)",01,"Imports",4010.809,,,4.526381,,
1951,1641,"SIDS: Atlantic and Indian Ocean",02,"Exports",78.597,,,0.094837,,
1951,1641,"SIDS: Atlantic and Indian Ocean",01,"Imports",101.585,,,0.114643,,
1951,1642,"SIDS: Caribbean",02,"Exports",1994.147,,,2.406196,,
1951,1642,"SIDS: Caribbean",01,"Imports",2151.893,,,2.428509,,
1951,1643,"SIDS: Pacific",02,"Exports",1664.014,,,2.007848,,
1951,1643,"SIDS: Pacific",01,"Imports",1757.331,,,1.983228,,
1951,2623,"Low-income developing economies",02,"Exports",2647.839,,,3.194959,,
1951,2623,"Low-income developing economies",01,"Imports",2199.169,,,2.481863,,
1951,2622,"Middle-income developing economies",02,"Exports",10218.494,,,12.329932,,
1951,2622,"Middle-income developing economies",01,"Imports",10268.745,,,11.588747,,
1951,2621,"High-income developing economies",02,"Exports",13984.973,,,16.874675,,
1951,2621,"High-income developing economies",01,"Imports",14188.262,,,16.012101,,
1951,2711,"BRICS",02,"Exports",7813.1,,,9.427514,,
1951,2711,"BRICS",01,"Imports",8223.63,,,9.280742,,
1951,3412,"European Union (2020 …)",02,"Exports",22176.865,,,26.75925,,
1951,3412,"European Union (2020 …)",01,"Imports",24832.131,,,28.024192,,
1951,3916,"G20 (Group of Twenty)",02,"Exports",46556.089,,,56.17593,,
1951,3916,"G20 (Group of Twenty)",01,"Imports",50250.238,,,56.709686,,
1951,3919,"G-77 (Group of 77)",02,"Exports",24288.395,,,29.307083,,
1951,3919,"G-77 (Group of 77)",01,"Imports",23465.882,,,26.482318,,
1951,3905,"OECD (Organisation for Economic Cooperation and Development)",02,"Exports",55323.386,,,66.754805,,
1951,3905,"OECD (Organisation for Economic Cooperation and Development)",01,"Imports",61390.167,,,69.281604,,
1952,0000,"World",02,"Exports",79801.274,,,100,,
1952,0000,"World",01,"Imports",88126.005,,,100,,
1952,5100,"Africa",02,"Exports",5491.165,,,6.881049,,
1952,5100,"Africa",01,"Imports",6398.476,,,7.260599,,
1952,5110,"Northern Africa",02,"Exports",1370.577,,,1.717488,,
1952,5110,"Northern Africa",01,"Imports",2203.454,,,2.500345,,
1952,5120,"Sub-Saharan Africa",02,"Exports",4120.588,,,5.163562,,
1952,5120,"Sub-Saharan Africa",01,"Imports",4195.022,,,4.760254,,
1952,5121,"Eastern Africa",02,"Exports",1050.178,,,1.315992,,
1952,5121,"Eastern Africa",01,"Imports",1086.102,,,1.232442,,
1952,5122,"Middle Africa",02,"Exports",706,,,0.884698,,
1952,5122,"Middle Africa",01,"Imports",771,,,0.874884,,
1952,5123,"Southern Africa",02,"Exports",1384.36,,,1.734759,,
1952,5123,"Southern Africa",01,"Imports",1269.66,,,1.440733,,
1952,5124,"Western Africa",02,"Exports",980.05,,,1.228113,,
1952,5124,"Western Africa",01,"Imports",1068.26,,,1.212196,,
1952,5200,"Americas",02,"Exports",25921.667,,,32.482773,,
1952,5200,"Americas",01,"Imports",25193.68,,,28.588247,,
1952,5210,"Northern America",02,"Exports",17845.97,,,22.363014,,
1952,5210,"Northern America",01,"Imports",16124.941,,,18.297597,,
1952,5220,"Latin America and the Caribbean",02,"Exports",8075.697,,,10.119759,,
1952,5220,"Latin America and the Caribbean",01,"Imports",9068.739,,,10.29065,,
1952,5221,"Caribbean",02,"Exports",1872.259,,,2.346152,,
1952,5221,"Caribbean",01,"Imports",2201.909,,,2.498592,,
1952,5222,"Central America",02,"Exports",1047.537,,,1.312682,,
1952,5222,"Central America",01,"Imports",1226.289,,,1.391518,,
1952,5223,"South America",02,"Exports",5155.901,,,6.460926,,
1952,5223,"South America",01,"Imports",5640.541,,,6.400541,,
1952,5300,"Asia",02,"Exports",11527.68,,,14.445484,,
1952,5300,"Asia",01,"Imports",13876.866,,,15.746619,,
1952,5330,"Eastern Asia",02,"Exports",2743.724,,,3.438196,,
1952,5330,"Eastern Asia",01,"Imports",4245.408,,,4.817429,,
1952,5350,"South-eastern Asia",02,"Exports",4015.066,,,5.031331,,
1952,5350,"South-eastern Asia",01,"Imports",4307.252,,,4.887606,,
1952,5320,"Southern Asia",02,"Exports",2566.942,,,3.216668,,
1952,5320,"Southern Asia",01,"Imports",3128.297,,,3.5498,,
1952,5340,"Western Asia",02,"Exports",2201.948,,,2.759289,,
1952,5340,"Western Asia",01,"Imports",2195.909,,,2.491783,,
1952,5400,"Europe",02,"Exports",34351.718,,,43.046578,,
1952,5400,"Europe",01,"Imports",39780.962,,,45.141002,,
1952,5410,"Eastern Europe",02,"Exports",4877.5,,,6.112058,,
1952,5410,"Eastern Europe",01,"Imports",4860,,,5.514831,,
1952,5420,"Northern Europe",02,"Exports",11624.393,,,14.566676,,
1952,5420,"Northern Europe",01,"Imports",14640.954,,,16.613659,,
1952,5430,"Southern Europe",02,"Exports",2471.101,,,3.096568,,
1952,5430,"Southern Europe",01,"Imports",4063.674,,,4.611209,,
1952,5440,"Western Europe",02,"Exports",15378.724,,,19.271276,,
1952,5440,"Western Europe",01,"Imports",16216.334,,,18.401304,,
1952,5500,"Oceania",02,"Exports",2509.044,,,3.144115,,
1952,5500,"Oceania",01,"Imports",2876.021,,,3.263533,,
1952,0001,"Individual economies",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,0001,"Individual economies",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,004,"Afghanistan",02,"Exports",45,,,0.05639,,
1952,004,"Afghanistan",01,"Imports",60,,,0.068084,,
1952,008,"Albania",02,"Exports",13,,,0.01629,,
1952,008,"Albania",01,"Imports",32,,,0.036312,,
1952,012,"Algeria",02,"Exports",415.143,,,0.520221,,
1952,012,"Algeria",01,"Imports",638.857,,,0.724936,,
1952,016,"American Samoa",02,"Exports",1,,,0.001253,,
1952,016,"American Samoa",01,"Imports",1,,,0.001135,,
1952,024,"Angola",02,"Exports",96,,,0.120299,,
1952,024,"Angola",01,"Imports",91,,,0.103261,,
1952,028,"Antigua and Barbuda",02,"Exports",3.806,,,0.004769,,
1952,028,"Antigua and Barbuda",01,"Imports",2.59,,,0.002939,,
1952,032,"Argentina",02,"Exports",687.8,,,0.861891,,
1952,032,"Argentina",01,"Imports",1179.3,,,1.338198,,
1952,051,"Armenia",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,051,"Armenia",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,036,"Australia",02,"Exports",1729.28,,,2.166983,,
1952,036,"Australia",01,"Imports",1962.91,,,2.22739,,
1952,040,"Austria",02,"Exports",505.525,,,0.63348,,
1952,040,"Austria",01,"Imports",653.572,,,0.741634,,
1952,031,"Azerbaijan",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,031,"Azerbaijan",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,044,"Bahamas",02,"Exports",3,,,0.003759,,
1952,044,"Bahamas",01,"Imports",25,,,0.028368,,
1952,048,"Bahrain",02,"Exports",179,,,0.224307,,
1952,048,"Bahrain",01,"Imports",125,,,0.141842,,
1952,050,"Bangladesh",02,"Exports",,,"Not publishable",,,"Not publishable"
1952,050,"Bangladesh",01,"Imports",,,"Not publishable",,,"Not publishable"
1952,052,"Barbados",02,"Exports",23.304,,,0.029203,,
1952,052,"Barbados",01,"Imports",31.613,,,0.035872,,
1952,112,"Belarus",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,112,"Belarus",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,056,"Belgium",02,"Exports",2454,,,3.075139,,
1952,056,"Belgium",01,"Imports",2462,,,2.793727,,
1952,084,"Belize",02,"Exports",4.33,,,0.005426,,
1952,084,"Belize",01,"Imports",9,,,0.010213,,
1952,204,"Benin",02,"Exports",11.092,,,0.0139,,
1952,204,"Benin",01,"Imports",21.568,,,0.024474,,
1952,060,"Bermuda",02,"Exports",4,,,0.005012,,
1952,060,"Bermuda",01,"Imports",35.048,,,0.03977,,
1952,068,"Bolivia (Plurinational State of)",02,"Exports",122,,,0.15288,,
1952,068,"Bolivia (Plurinational State of)",01,"Imports",92.6,,,0.105077,,
1952,535,"Bonaire, Sint Eustatius and Saba",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,535,"Bonaire, Sint Eustatius and Saba",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,070,"Bosnia and Herzegovina",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,070,"Bosnia and Herzegovina",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,072,"Botswana",02,"Exports",5.74,,,0.007193,,
1952,072,"Botswana",01,"Imports",5.18,,,0.005878,,
1952,076,"Brazil",02,"Exports",1416,,,1.774408,,
1952,076,"Brazil",01,"Imports",1982,,,2.249052,,
1952,096,"Brunei Darussalam",02,"Exports",94,,,0.117793,,
1952,096,"Brunei Darussalam",01,"Imports",23,,,0.026099,,
1952,100,"Bulgaria",01,"Imports",158,,,0.179289,,
1952,854,"Burkina Faso",02,"Exports",3.509,,,0.004397,,
1952,854,"Burkina Faso",01,"Imports",9,,,0.010213,,
1952,108,"Burundi",02,"Exports",3,,,0.003759,,
1952,108,"Burundi",01,"Imports",5,,,0.005674,,
1952,132,"Cabo Verde",02,"Exports",8.317,,,0.010422,,
1952,132,"Cabo Verde",01,"Imports",9.038,,,0.010256,,
1952,116,"Cambodia",02,"Exports",50,,,0.062656,,
1952,116,"Cambodia",01,"Imports",10,,,0.011347,,
1952,120,"Cameroon",02,"Exports",63,,,0.078946,,
1952,120,"Cameroon",01,"Imports",107,,,0.121417,,
1952,124,"Canada",02,"Exports",4630.45,,,5.802476,,
1952,124,"Canada",01,"Imports",4373.11,,,4.962338,,
1952,140,"Central African Republic",02,"Exports",16,,,0.02005,,
1952,140,"Central African Republic",01,"Imports",20,,,0.022695,,
1952,148,"Chad",02,"Exports",20,,,0.025062,,
1952,148,"Chad",01,"Imports",23,,,0.026099,,
1952,152,"Chile",02,"Exports",452.6,,,0.567159,,
1952,152,"Chile",01,"Imports",370,,,0.419853,,
1952,156,"China",02,"Exports",820,,,1.027553,,
1952,156,"China",01,"Imports",1120,,,1.270907,,
1952,344,"China, Hong Kong SAR",02,"Exports",507.324,,,0.635734,,
1952,344,"China, Hong Kong SAR",01,"Imports",661.498,,,0.750627,,
1952,446,"China, Macao SAR",02,"Exports",3,,,0.003759,,
1952,446,"China, Macao SAR",01,"Imports",40,,,0.04539,,
1952,158,"China, Taiwan Province of",02,"Exports",116.5,,,0.145988,,
1952,158,"China, Taiwan Province of",01,"Imports",187.2,,,0.212423,,
1952,170,"Colombia",02,"Exports",473.2,,,0.592973,,
1952,170,"Colombia",01,"Imports",415.4,,,0.471371,,
1952,174,"Comoros",02,"Exports",2,,,0.002506,,
1952,174,"Comoros",01,"Imports",2,,,0.002269,,
1952,178,"Congo",02,"Exports",57,,,0.071427,,
1952,178,"Congo",01,"Imports",51,,,0.057872,,
1952,188,"Costa Rica",02,"Exports",73.4,,,0.091978,,
1952,188,"Costa Rica",01,"Imports",67.9,,,0.077049,,
1952,384,"Cote d'Ivoire",02,"Exports",107.609,,,0.134846,,
1952,384,"Cote d'Ivoire",01,"Imports",89.093,,,0.101097,,
1952,191,"Croatia",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,191,"Croatia",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,192,"Cuba",02,"Exports",694,,,0.86966,,
1952,192,"Cuba",01,"Imports",690,,,0.78297,,
1952,531,"Curacao",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,531,"Curacao",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,196,"Cyprus",02,"Exports",50.68,,,0.063508,,
1952,196,"Cyprus",01,"Imports",57.05,,,0.064737,,
1952,203,"Czechia",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,203,"Czechia",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,200,"Czechoslovakia",02,"Exports",874,,,1.095221,,
1952,200,"Czechoslovakia",01,"Imports",876,,,0.994031,,
1952,180,"Dem. Rep. of the Congo",02,"Exports",391,,,0.489967,,
1952,180,"Dem. Rep. of the Congo",01,"Imports",404,,,0.458434,,
1952,278,"Democratic Republic of Germany",02,"Exports",739,,,0.92605,,
1952,278,"Democratic Republic of Germany",01,"Imports",773,,,0.877153,,
1952,208,"Denmark",02,"Exports",850.424,,,1.065677,,
1952,208,"Denmark",01,"Imports",962.048,,,1.091673,,
1952,262,"Djibouti",02,"Exports",10,,,0.012531,,
1952,262,"Djibouti",01,"Imports",20,,,0.022695,,
1952,212,"Dominica",02,"Exports",3,,,0.003759,,
1952,212,"Dominica",01,"Imports",3,,,0.003404,,
1952,214,"Dominican Republic",02,"Exports",115.37,,,0.144572,,
1952,214,"Dominican Republic",01,"Imports",110.466,,,0.12535,,
1952,218,"Ecuador",02,"Exports",102.17,,,0.128031,,
1952,218,"Ecuador",01,"Imports",69.6,,,0.078978,,
1952,818,"Egypt",02,"Exports",431.223,,,0.540371,,
1952,818,"Egypt",01,"Imports",653.856,,,0.741956,,
1952,222,"El Salvador",02,"Exports",88.28,,,0.110625,,
1952,222,"El Salvador",01,"Imports",70.56,,,0.080067,,
1952,226,"Equatorial Guinea",02,"Exports",40,,,0.050125,,
1952,226,"Equatorial Guinea",01,"Imports",50,,,0.056737,,
1952,232,"Eritrea",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,232,"Eritrea",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,233,"Estonia",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,233,"Estonia",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,748,"Eswatini",02,"Exports",7,,,0.008772,,
1952,748,"Eswatini",01,"Imports",6,,,0.006808,,
1952,231,"Ethiopia",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,231,"Ethiopia",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,230,"Ethiopia (...1991)",02,"Exports",52.888,,,0.066275,,
1952,230,"Ethiopia (...1991)",01,"Imports",65.165,,,0.073945,,
1952,234,"Faroe Islands",02,"Exports",10.1,,,0.012656,,
1952,234,"Faroe Islands",01,"Imports",9.2,,,0.01044,,
1952,280,"Federal Republic of Germany",02,"Exports",4031,,,5.051298,,
1952,280,"Federal Republic of Germany",01,"Imports",3862,,,4.382361,,
1952,242,"Fiji",02,"Exports",27.748,,,0.034771,,
1952,242,"Fiji",01,"Imports",30.295,,,0.034377,,
1952,246,"Finland",02,"Exports",717.391,,,0.898972,,
1952,246,"Finland",01,"Imports",792.174,,,0.898911,,
1952,250,"France",02,"Exports",4124.789,,,5.168826,,
1952,250,"France",01,"Imports",4670.002,,,5.299233,,
1952,254,"French Guiana",02,"Exports",0.155,,,0.000194,,
1952,254,"French Guiana",01,"Imports",8.07,,,0.009157,,
1952,258,"French Polynesia",02,"Exports",8,,,0.010025,,
1952,258,"French Polynesia",01,"Imports",13,,,0.014752,,
1952,266,"Gabon",02,"Exports",16,,,0.02005,,
1952,266,"Gabon",01,"Imports",20,,,0.022695,,
1952,270,"Gambia",02,"Exports",11.088,,,0.013895,,
1952,270,"Gambia",01,"Imports",10.388,,,0.011788,,
1952,268,"Georgia",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,268,"Georgia",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,276,"Germany",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,276,"Germany",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,288,"Ghana",02,"Exports",241.919,,,0.303152,,
1952,288,"Ghana",01,"Imports",186.479,,,0.211605,,
1952,300,"Greece",02,"Exports",119.867,,,0.150207,,
1952,300,"Greece",01,"Imports",346.268,,,0.392924,,
1952,304,"Greenland",02,"Exports",8,,,0.010025,,
1952,304,"Greenland",01,"Imports",7,,,0.007943,,
1952,308,"Grenada",02,"Exports",3.97,,,0.004975,,
1952,308,"Grenada",01,"Imports",4.672,,,0.005301,,
1952,312,"Guadeloupe",02,"Exports",28.477,,,0.035685,,
1952,312,"Guadeloupe",01,"Imports",35.546,,,0.040335,,
1952,316,"Guam",02,"Exports",4,,,0.005012,,
1952,316,"Guam",01,"Imports",20,,,0.022695,,
1952,320,"Guatemala",02,"Exports",87.46,,,0.109597,,
1952,320,"Guatemala",01,"Imports",75.72,,,0.085922,,
1952,324,"Guinea",02,"Exports",17,,,0.021303,,
1952,324,"Guinea",01,"Imports",38,,,0.04312,,
1952,624,"Guinea-Bissau",02,"Exports",7,,,0.008772,,
1952,624,"Guinea-Bissau",01,"Imports",7.558,,,0.008576,,
1952,328,"Guyana",02,"Exports",47.676,,,0.059743,,
1952,328,"Guyana",01,"Imports",48.195,,,0.054689,,
1952,332,"Haiti",02,"Exports",52.04,,,0.065212,,
1952,332,"Haiti",01,"Imports",50.696,,,0.057527,,
1952,340,"Honduras",02,"Exports",62.75,,,0.078633,,
1952,340,"Honduras",01,"Imports",76,,,0.08624,,
1952,348,"Hungary",02,"Exports",438,,,0.548863,,
1952,348,"Hungary",01,"Imports",456,,,0.517441,,
1952,352,"Iceland",02,"Exports",39.288,,,0.049232,,
1952,352,"Iceland",01,"Imports",55.862,,,0.063389,,
1952,356,"India",02,"Exports",1242.78,,,1.557344,,
1952,356,"India",01,"Imports",1627.29,,,1.846549,,
1952,360,"Indonesia",02,"Exports",,,"Not applicable",,,"Not applicable"
1952,360,"Indonesia",01,"Imports",,,"Not applicable",,,"Not applicable"
1952,960,"Indonesia (...2002)",02,"Exports",934,,,1.170407,,
1952,960,"Indonesia (...2002)",01,"Imports",947.9,,,1.075619,,
1952,364,"Iran (Islamic Republic of)",02,"Exports",165.178,,,0.206987,,
1952,364,"Iran (Islamic Republic of)",01,"Imports",160,,,0.181558,,
1952,368,"Iraq",02,"Exports",278.796,,,0.349363,,
1952,368,"Iraq",01,"Imports",173.04,,,0.196355,,
