Period,Period Label,Economy,Economy Label,Annual average growth rate,Annual average growth rate Footnote,Annual average growth rate Missing value,Annual average growth rate per capita,Annual average growth rate per capita Footnote,Annual average growth rate per capita Missing value
20102015,"2010 - 2015",392,"Japan",1.12105,,,1.27,,
20102015,"2010 - 2015",400,"Jordan",2.74696,,,-2.62398,,
20102015,"2010 - 2015",398,"Kazakhstan",4.99676,,,3.50514,,
20102015,"2010 - 2015",404,"Kenya",4.59732,,,2.03779,,
20102015,"2010 - 2015",296,"Kiribati",3.59466,,,2.13164,,
20102015,"2010 - 2015",412,"Kosovo",4.26386,,,4.24302,,
20102015,"2010 - 2015",414,"Kuwait",3.32621,,,-1.97548,,
20102015,"2010 - 2015",417,"Kyrgyzstan",5.03813,,,3.19299,,
20102015,"2010 - 2015",418,"Lao People's Dem. Rep.",7.79602,,,6.27766,,
20102015,"2010 - 2015",428,"Latvia",3.4636,,,4.66027,,
20102015,"2010 - 2015",422,"Lebanon",2.32143,,,-3.36322,,
20102015,"2010 - 2015",426,"Lesotho",3.38865,,,2.29566,,
20102015,"2010 - 2015",430,"Liberia",7.42091,,,4.55532,,
20102015,"2010 - 2015",434,"Libya",-6.68899,,,-6.91704,,
20102015,"2010 - 2015",438,"Liechtenstein",1.57674,,,0.78923,,
20102015,"2010 - 2015",440,"Lithuania",3.74614,,,5.01666,,
20102015,"2010 - 2015",442,"Luxembourg",2.26308,,,-0.07959,,
20102015,"2010 - 2015",450,"Madagascar",2.71422,,,-0.04906,,
20102015,"2010 - 2015",454,"Malawi",9.23738,,,6.18203,,
20102015,"2010 - 2015",458,"Malaysia",5.31358,,,3.51924,,
20102015,"2010 - 2015",462,"Maldives",5.8797,,,2.32784,,
20102015,"2010 - 2015",466,"Mali",8.31511,,,5.06169,,
20102015,"2010 - 2015",470,"Malta",5.49685,,,4.50512,,
20102015,"2010 - 2015",584,"Marshall Islands",0.63085,,,1.96451,,
20102015,"2010 - 2015",478,"Mauritania",4.42955,,,1.20752,,
20102015,"2010 - 2015",480,"Mauritius",4.0036,,,3.84946,,
20102015,"2010 - 2015",484,"Mexico",2.4763,,,1.17765,,
20102015,"2010 - 2015",583,"Micronesia (Federated States of)",-0.83068,,,-1.0455,,
20102015,"2010 - 2015",492,"Monaco",5.98871,,,3.8237,,
20102015,"2010 - 2015",496,"Mongolia",10.1635,,,8.03658,,
20102015,"2010 - 2015",499,"Montenegro",1.61276,,,1.7233,,
20102015,"2010 - 2015",500,"Montserrat",1.68904,,,2.29134,,
20102015,"2010 - 2015",504,"Morocco",5.23003,,,3.89271,,
20102015,"2010 - 2015",508,"Mozambique",7.35167,,,4.30967,,
20102015,"2010 - 2015",104,"Myanmar",7.46306,,,6.57513,,
20102015,"2010 - 2015",516,"Namibia",5.3282,,,2.83104,,
20102015,"2010 - 2015",520,"Nauru",19.70545,,,17.5241,,
20102015,"2010 - 2015",524,"Nepal",4.56687,,,4.23298,,
20102015,"2010 - 2015",528,"Netherlands (Kingdom of the)",0.55142,,,0.16717,,
20102015,"2010 - 2015",530,"Netherlands Antilles",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",540,"New Caledonia",2.05387,,,0.38743,,
20102015,"2010 - 2015",554,"New Zealand",2.94433,,,1.77096,,
20102015,"2010 - 2015",558,"Nicaragua",5.42982,,,3.97735,,
20102015,"2010 - 2015",562,"Niger",6.95785,,,3.03991,,
20102015,"2010 - 2015",566,"Nigeria",5.25236,,,2.44978,,
20102015,"2010 - 2015",807,"North Macedonia",2.34983,,,3.07383,,
20102015,"2010 - 2015",578,"Norway",1.77186,,,0.55722,,
20102015,"2010 - 2015",512,"Oman",4.7617,,,-3.71381,,
20102015,"2010 - 2015",582,"Pacific Islands, Trust Territory",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",586,"Pakistan",5.30454,,,3.51192,,
20102015,"2010 - 2015",585,"Palau",2.87671,,,3.58625,,
20102015,"2010 - 2015",591,"Panama",7.93026,,,6.06045,,
20102015,"2010 - 2015",590,"Panama, excluding Canal Zone",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",598,"Papua New Guinea",6.15859,,,3.31877,,
20102015,"2010 - 2015",600,"Paraguay",4.16735,,,2.69756,,
20102015,"2010 - 2015",604,"Peru",4.80829,,,3.85034,,
20102015,"2010 - 2015",608,"Philippines",6.21668,,,4.32738,,
20102015,"2010 - 2015",616,"Poland",2.78407,,,2.70446,,
20102015,"2010 - 2015",620,"Portugal",-0.99042,,,-0.57119,,
20102015,"2010 - 2015",630,"Puerto Rico",-0.54657,,,0.52672,,
20102015,"2010 - 2015",634,"Qatar",6.23324,,,-0.88157,,
20102015,"2010 - 2015",410,"Republic of Korea",3.02192,,,2.09457,,
20102015,"2010 - 2015",498,"Republic of Moldova",3.9914,,,6.11296,,
20102015,"2010 - 2015",642,"Romania",2.5354,,,3.09611,,
20102015,"2010 - 2015",643,"Russian Federation",1.80492,,,1.60745,,
20102015,"2010 - 2015",646,"Rwanda",6.98916,,,4.4416,,
20102015,"2010 - 2015",659,"Saint Kitts and Nevis",3.3638,,,3.24756,,
20102015,"2010 - 2015",662,"Saint Lucia",0.37627,,,-0.08355,,
20102015,"2010 - 2015",670,"Saint Vincent and the Grenadines",1.46782,,,2.03178,,
20102015,"2010 - 2015",882,"Samoa",1.47245,,,0.57253,,
20102015,"2010 - 2015",674,"San Marino",-5.00254,,,-6.76268,,
20102015,"2010 - 2015",678,"Sao Tome and Principe",4.6336,,,2.62579,,
20102015,"2010 - 2015",682,"Saudi Arabia",5.10413,,,1.48518,,
20102015,"2010 - 2015",686,"Senegal",4.04082,,,1.06932,,
20102015,"2010 - 2015",688,"Serbia",0.75725,,,1.37305,,
20102015,"2010 - 2015",891,"Serbia and Montenegro",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",690,"Seychelles",5.92463,,,3.35534,,
20102015,"2010 - 2015",694,"Sierra Leone",6.91902,,,4.32005,,
20102015,"2010 - 2015",702,"Singapore",4.46122,,,2.69785,,
20102015,"2010 - 2015",534,"Sint Maarten (Dutch part)",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",703,"Slovakia",2.18999,,,2.08255,,
20102015,"2010 - 2015",705,"Slovenia",0.18165,,,0.03035,,
20102015,"2010 - 2015",090,"Solomon Islands",3.4626,,,-0.23963,,
20102015,"2010 - 2015",706,"Somalia",8.4416,,,5.81799,,
20102015,"2010 - 2015",710,"South Africa",2.14946,,,0.52248,,
20102015,"2010 - 2015",728,"South Sudan",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",724,"Spain",-0.31135,,,-0.2033,,
20102015,"2010 - 2015",144,"Sri Lanka",6.29344,,,5.43281,,
20102015,"2010 - 2015",275,"State of Palestine",4.42387,,,1.98775,,
20102015,"2010 - 2015",729,"Sudan",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",736,"Sudan (...2011)",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",740,"Suriname",2.61285,,,1.46755,,
20102015,"2010 - 2015",752,"Sweden",1.86213,,,0.97648,,
20102015,"2010 - 2015",756,"Switzerland",1.76068,,,0.60792,,
20102015,"2010 - 2015",760,"Syrian Arab Republic",-16.07968,,,-13.29448,,
20102015,"2010 - 2015",762,"Tajikistan",6.3466,,,3.77664,,
20102015,"2010 - 2015",835,"Tanganyika",6.46354,,,,,"No value reported or collected"
20102015,"2010 - 2015",836,"Zanzibar and Pemba Island",5.70087,,,,,"No value reported or collected"
20102015,"2010 - 2015",764,"Thailand",3.11196,,,2.52743,,
20102015,"2010 - 2015",626,"Timor-Leste",4.1777,,,2.01271,,
20102015,"2010 - 2015",768,"Togo",5.83855,,,3.13702,,
20102015,"2010 - 2015",776,"Tonga",1.84971,,,2.11664,,
20102015,"2010 - 2015",780,"Trinidad and Tobago",1.93977,,,1.32111,,
20102015,"2010 - 2015",788,"Tunisia",3.39664,,,2.20964,,
20102015,"2010 - 2015",792,"Turkiye",6.85043,,,5.02968,,
20102015,"2010 - 2015",795,"Turkmenistan",4.37582,,,2.0876,,
20102015,"2010 - 2015",796,"Turks and Caicos Islands",3.81278,,,-0.45234,,
20102015,"2010 - 2015",798,"Tuvalu",3.63013,,,2.96869,,
20102015,"2010 - 2015",800,"Uganda",4.10286,,,1.09263,,
20102015,"2010 - 2015",804,"Ukraine",-2.18615,,,-1.91645,"The Government of Ukraine has advised the United Nations that it is not in a position to provide statistical data concerning the Autonomous Republic of Crimea and the city of Sevastopol from 2010 onwards. Since population figures include these areas, the denominator and numerator are mismatched for GDP per capita.",
20102015,"2010 - 2015",810,"Union of Soviet Socialist Republics",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",784,"United Arab Emirates",4.51276,,,-0.0553,,
20102015,"2010 - 2015",826,"United Kingdom",2.01547,,,1.27449,,
20102015,"2010 - 2015",834,"United Republic of Tanzania",6.44464,,,3.29513,,
20102015,"2010 - 2015",840,"United States",2.28415,,,1.32226,,
20102015,"2010 - 2015",841,"United States of America including Puerto Rico",2.26678,,,,,"No value reported or collected"
20102015,"2010 - 2015",858,"Uruguay",4.96023,,,4.6506,,
20102015,"2010 - 2015",860,"Uzbekistan",7.17691,,,5.48208,,
20102015,"2010 - 2015",548,"Vanuatu",1.63022,,,-0.595,,
20102015,"2010 - 2015",862,"Venezuela (Bolivarian Rep. of)",0.35353,,,-0.83375,,
20102015,"2010 - 2015",704,"Viet Nam",6.06705,,,4.81197,,
20102015,"2010 - 2015",887,"Yemen",-9.85429,,,-12.56121,,
20102015,"2010 - 2015",886,"Yemen, Arab Republic",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",720,"Yemen, Democratic",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",890,"Yugoslavia, Soc. Fed. Rep. of",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",894,"Zambia",5.31251,,,1.98509,,
20102015,"2010 - 2015",716,"Zimbabwe",6.94543,,,5.36247,,
20102015,"2010 - 2015",0002,"Special economies",,,"Not applicable",,,"Not applicable"
20102015,"2010 - 2015",251,"France including French Guiana, Guadeloupe, Martinique, Mayotte, Monaco and Reunion",0.92013,,,0.4329,,
20102015,"2010 - 2015",579,"Norway including Svalbard and Jan Mayen Islands",1.77186,,,0.55722,,
20102015,"2010 - 2015",757,"Switzerland including Liechtenstein",1.75892,,,0.60783,,
20102015,"2010 - 2015",926,"United Kingdom including Channel Islands and Isle of Man",2.01547,,,1.2759,,
20102015,"2010 - 2015",842,"United States of America including Puerto Rico and United States Virgin Islands",2.26678,,,1.32871,,
20102015,"2010 - 2015",5600,"Asia and Oceania",5.09199,,,3.91611,,
20102015,"2010 - 2015",5702,"Northern America and Europe",1.68139,,,1.26016,,
20102015,"2010 - 2015",5706,"Europe, Northern America, Australia and New Zealand",1.718,,,1.26938,,
20102015,"2010 - 2015",5703,"Central and Southern Asia",5.48912,,,4.06301,,
20102015,"2010 - 2015",5704,"Eastern and South-Eastern Asia",5.25629,,,4.44272,,
20102015,"2010 - 2015",5705,"Western Asia and Northern Africa",4.16069,,,2.41905,,
20102015,"2010 - 2015",1400,"Developing economies",5.3273,,,3.83792,,
20102015,"2010 - 2015",1410,"Developing economies: Africa",4.04923,,,1.39029,,
20102015,"2010 - 2015",1420,"Developing economies: Americas",2.15051,,,1.10092,,
20102015,"2010 - 2015",1460,"Developing economies: Asia and Oceania",6.45369,,,5.22315,,
20102015,"2010 - 2015",1430,"Developing economies: Asia",6.45985,,,5.23251,,
20102015,"2010 - 2015",1450,"Developing economies: Oceania",3.82801,,,1.43491,,
20102015,"2010 - 2015",1500,"Developed economies",1.70967,,,1.29206,,
20102015,"2010 - 2015",1520,"Developed economies: Americas",2.27529,,,1.30704,,
20102015,"2010 - 2015",1560,"Developed economies: Asia and Oceania",1.8541,,,1.45508,,
20102015,"2010 - 2015",1530,"Developed economies: Asia",1.65574,,,1.42485,,
20102015,"2010 - 2015",1550,"Developed economies: Oceania",2.75212,,,1.20997,,
20102015,"2010 - 2015",1540,"Developed economies: Europe",1.08661,,,0.92586,,
20102015,"2010 - 2015",1600,"Developing economies excluding China",3.91151,,,2.20522,,
20102015,"2010 - 2015",1601,"Developing economies excluding LDCs",5.31883,,,4.00605,,
20102015,"2010 - 2015",1610,"LDCs (Least developed countries)",5.56868,,,3.10215,,
20102015,"2010 - 2015",1614,"LDCs: Africa",5.66625,,,2.61583,,
20102015,"2010 - 2015",1612,"LDCs: Asia",5.54844,,,4.12949,,
20102015,"2010 - 2015",1615,"LDCs: Islands and Haiti",3.14334,,,1.46371,,
20102015,"2010 - 2015",1620,"LLDCs (Landlocked developing countries)",5.79783,,,2.76378,,
20102015,"2010 - 2015",1640,"SIDS (Small island developing States) (UN-OHRLLS)",2.99496,,,1.85402,,
20102015,"2010 - 2015",1641,"SIDS: Atlantic and Indian Ocean",2.3861,,,0.72355,,
20102015,"2010 - 2015",1642,"SIDS: Caribbean",1.79282,,,1.14567,,
20102015,"2010 - 2015",1643,"SIDS: Pacific",4.37835,,,2.18208,,
20102015,"2010 - 2015",2623,"Low-income developing economies",3.85152,,,1.79549,,
20102015,"2010 - 2015",2622,"Middle-income developing economies",5.21741,,,3.47924,,
20102015,"2010 - 2015",2621,"High-income developing economies",5.46464,,,4.52238,,
20102015,"2010 - 2015",2711,"BRICS",6.16713,,,5.17457,,
20102015,"2010 - 2015",3412,"European Union (2020 …)",0.77879,,,0.63902,,
20102015,"2010 - 2015",3916,"G20 (Group of Twenty)",3.12501,,,2.1657,,
20102015,"2010 - 2015",3919,"G-77 (Group of 77)",5.547,,,4.04701,,
20102015,"2010 - 2015",3905,"OECD (Organisation for Economic Cooperation and Development)",1.84851,,,1.14931,,
20152020,"2015 - 2020",0000,"World",2.12748,,,1.02174,,
20152020,"2015 - 2020",5100,"Africa",2.20281,,,-0.30063,,
20152020,"2015 - 2020",5110,"Northern Africa",2.81968,,,0.83645,,
20152020,"2015 - 2020",5120,"Sub-Saharan Africa",1.90485,,,-0.71376,,
20152020,"2015 - 2020",5121,"Eastern Africa",4.76098,,,2.02378,,
20152020,"2015 - 2020",5122,"Middle Africa",0.05591,,,-3.10855,,
20152020,"2015 - 2020",5123,"Southern Africa",-0.00227,,,-1.36501,,
20152020,"2015 - 2020",5124,"Western Africa",2.08895,,,-0.42649,,
20152020,"2015 - 2020",5200,"Americas",1.19893,,,0.34055,,
20152020,"2015 - 2020",5210,"Northern America",1.77119,,,0.90243,,
20152020,"2015 - 2020",5220,"Latin America and the Caribbean",-0.96755,,,-1.8044,,
20152020,"2015 - 2020",5221,"Caribbean",-0.30867,,,-0.81581,,
20152020,"2015 - 2020",5222,"Central America",0.14478,,,-0.90596,,
20152020,"2015 - 2020",5223,"South America",-1.47936,,,-2.26229,,
20152020,"2015 - 2020",5300,"Asia",3.77062,,,2.84579,,
20152020,"2015 - 2020",5310,"Central Asia",3.56304,,,1.67258,,
20152020,"2015 - 2020",5330,"Eastern Asia",4.08387,,,3.68317,,
20152020,"2015 - 2020",5350,"South-eastern Asia",3.70049,,,2.67702,,
20152020,"2015 - 2020",5320,"Southern Asia",4.04095,,,2.84126,,
20152020,"2015 - 2020",5340,"Western Asia",1.59709,,,-0.02913,,
20152020,"2015 - 2020",5400,"Europe",0.91786,,,0.77124,,
20152020,"2015 - 2020",5410,"Eastern Europe",2.17575,,,2.25572,,
20152020,"2015 - 2020",5420,"Northern Europe",0.96454,,,0.36965,,
20152020,"2015 - 2020",5430,"Southern Europe",0.11339,,,0.17697,,
20152020,"2015 - 2020",5440,"Western Europe",0.82837,,,0.4174,,
20152020,"2015 - 2020",5500,"Oceania",1.9263,,,0.23845,,
20152020,"2015 - 2020",0001,"Individual economies",,,"Not applicable",,,"Not applicable"
20152020,"2015 - 2020",004,"Afghanistan",3.33979,,,0.40072,,
20152020,"2015 - 2020",008,"Albania",2.32479,,,2.50315,,
20152020,"2015 - 2020",012,"Algeria",0.53299,,,-1.38046,,
20152020,"2015 - 2020",020,"Andorra",-0.23327,,,-1.7617,,
20152020,"2015 - 2020",024,"Angola",-1.71051,,,-5.04311,,
20152020,"2015 - 2020",660,"Anguilla",-3.58611,,,-4.52306,,
20152020,"2015 - 2020",028,"Antigua and Barbuda",1.41743,,,0.88085,,
20152020,"2015 - 2020",032,"Argentina",-2.27215,,,-3.03456,,
20152020,"2015 - 2020",051,"Armenia",3.67339,,,3.87826,,
20152020,"2015 - 2020",533,"Aruba",-2.02333,,,-2.63172,,
20152020,"2015 - 2020",036,"Australia",1.77461,,,0.28514,,
20152020,"2015 - 2020",040,"Austria",0.75972,,,0.15279,,
20152020,"2015 - 2020",031,"Azerbaijan",-0.11856,,,-0.95686,,
20152020,"2015 - 2020",044,"Bahamas",-2.76026,,,-3.28968,,
20152020,"2015 - 2020",048,"Bahrain",1.82479,,,0.31249,,
20152020,"2015 - 2020",050,"Bangladesh",6.96822,,,6.06706,,
20152020,"2015 - 2020",052,"Barbados",-1.63483,,,-1.82418,,
20152020,"2015 - 2020",112,"Belarus",1.25613,,,1.52904,,
20152020,"2015 - 2020",056,"Belgium",0.74124,,,0.27565,,
20152020,"2015 - 2020",084,"Belize",-1.30306,,,-3.11734,,
20152020,"2015 - 2020",204,"Benin",5.60595,,,2.68438,,
20152020,"2015 - 2020",060,"Bermuda",-0.33695,,,-0.6404,,
20152020,"2015 - 2020",064,"Bhutan",3.53338,,,2.74071,,
20152020,"2015 - 2020",068,"Bolivia (Plurinational State of)",1.81074,,,0.38209,,
20152020,"2015 - 2020",070,"Bosnia and Herzegovina",2.39289,,,3.70607,,
20152020,"2015 - 2020",072,"Botswana",2.37649,,,0.92981,,
20152020,"2015 - 2020",076,"Brazil",0.08061,,,-0.60046,,
20152020,"2015 - 2020",092,"British Virgin Islands",3.07805,,,1.20615,,
20152020,"2015 - 2020",096,"Brunei Darussalam",0.99025,,,-0.17326,,
20152020,"2015 - 2020",100,"Bulgaria",2.07627,,,2.79245,,
20152020,"2015 - 2020",854,"Burkina Faso",4.5742,,,1.79899,,
20152020,"2015 - 2020",108,"Burundi",3.75187,,,0.96218,,
20152020,"2015 - 2020",132,"Cabo Verde",1.17713,,,1.08373,,
20152020,"2015 - 2020",116,"Cambodia",5.59328,,,4.18496,,
20152020,"2015 - 2020",120,"Cameroon",3.29775,,,0.43305,,
20152020,"2015 - 2020",124,"Canada",1.22221,,,-0.00518,,
20152020,"2015 - 2020",136,"Cayman Islands",2.40381,,,0.21292,,
20152020,"2015 - 2020",140,"Central African Republic",3.49666,,,1.81647,,
20152020,"2015 - 2020",148,"Chad",1.24984,,,-1.99627,,
20152020,"2015 - 2020",152,"Chile",0.71497,,,-0.77208,,
20152020,"2015 - 2020",156,"China",5.97002,,,5.51016,,
20152020,"2015 - 2020",344,"China, Hong Kong SAR",0.52982,,,0.19084,,
20152020,"2015 - 2020",446,"China, Macao SAR",-7.8203,,,-9.52704,,
20152020,"2015 - 2020",158,"China, Taiwan Province of",2.96617,,,2.84643,,
20152020,"2015 - 2020",170,"Colombia",0.90039,,,-0.6611,,
20152020,"2015 - 2020",174,"Comoros",4.11793,,,2.08625,,
20152020,"2015 - 2020",178,"Congo",-3.80811,,,-6.10867,,
20152020,"2015 - 2020",184,"Cook Islands",1.07105,,,3.37256,,
20152020,"2015 - 2020",188,"Costa Rica",2.12787,,,1.22957,,
20152020,"2015 - 2020",384,"Cote d'Ivoire",5.68468,,,2.85586,,
20152020,"2015 - 2020",191,"Croatia",1.47093,,,2.65699,,
20152020,"2015 - 2020",192,"Cuba",-0.63736,,,-0.45957,,
20152020,"2015 - 2020",531,"Curacao",-4.477,,,-7.0733,,
20152020,"2015 - 2020",196,"Cyprus",4.43096,,,,,"No value reported or collected"
20152020,"2015 - 2020",203,"Czechia",2.22283,,,2.16605,,
20152020,"2015 - 2020",200,"Czechoslovakia",,,"Not applicable",,,"Not applicable"
20152020,"2015 - 2020",408,"Dem. People's Rep. of Korea",-1.92061,,,-2.34624,,
20152020,"2015 - 2020",180,"Dem. Rep. of the Congo",3.93083,,,0.4696,,
20152020,"2015 - 2020",208,"Denmark",1.59983,,,1.08367,,
20152020,"2015 - 2020",262,"Djibouti",4.93023,,,3.26574,,
20152020,"2015 - 2020",212,"Dominica",-1.53896,,,-0.73202,,
20152020,"2015 - 2020",214,"Dominican Republic",3.90621,,,2.80149,,
20152020,"2015 - 2020",218,"Ecuador",-0.4662,,,-2.00096,,
20152020,"2015 - 2020",818,"Egypt",4.72092,,,2.78238,,
20152020,"2015 - 2020",222,"El Salvador",0.86499,,,0.7139,,
20152020,"2015 - 2020",226,"Equatorial Guinea",-6.02652,,,-9.11619,,
20152020,"2015 - 2020",232,"Eritrea",2.57359,,,1.37126,,
20152020,"2015 - 2020",233,"Estonia",3.50625,,,3.25391,,
20152020,"2015 - 2020",748,"Eswatini",1.60958,,,0.7389,,
20152020,"2015 - 2020",231,"Ethiopia",7.78971,,,4.91245,,
20152020,"2015 - 2020",230,"Ethiopia (...1991)",,,"Not applicable",,,"Not applicable"
20152020,"2015 - 2020",280,"Federal Republic of Germany",,,"Not applicable",,,"Not applicable"
20152020,"2015 - 2020",242,"Fiji",-0.35108,,,-0.25025,,
20152020,"2015 - 2020",246,"Finland",1.35266,,,1.17625,,
20152020,"2015 - 2020",250,"France",0.44708,,,0.13572,"France includes data for Guadeloupe, Martinique, Reunion, French Guiana and Mayotte. Since population figures refer to metropolitan France, the denominator and numerator are mismatched for GDP per capita.",
20152020,"2015 - 2020",258,"French Polynesia",1.3535,,,1.291,,
20152020,"2015 - 2020",266,"Gabon",1.23968,,,-1.33484,,
20152020,"2015 - 2020",270,"Gambia",4.71962,,,2.18232,,
20152020,"2015 - 2020",268,"Georgia",2.8578,,,2.82951,,
20152020,"2015 - 2020",276,"Germany",0.8615,,,0.50015,,
20152020,"2015 - 2020",288,"Ghana",5.46564,,,3.26977,,
20152020,"2015 - 2020",300,"Greece",-0.36678,,,-0.15454,,
20152020,"2015 - 2020",304,"Greenland",1.50168,,,1.4827,,
20152020,"2015 - 2020",308,"Grenada",0.65712,,,0.38039,,
20152020,"2015 - 2020",320,"Guatemala",2.60784,,,0.91345,,
20152020,"2015 - 2020",324,"Guinea",7.46505,,,4.75406,,
20152020,"2015 - 2020",624,"Guinea-Bissau",4.44652,,,1.98167,,
20152020,"2015 - 2020",328,"Guyana",9.24091,,,7.66332,,
20152020,"2015 - 2020",332,"Haiti",0.37772,,,-0.94412,,
20152020,"2015 - 2020",340,"Honduras",1.87082,,,0.02737,,
20152020,"2015 - 2020",348,"Hungary",3.07938,,,3.25411,,
20152020,"2015 - 2020",352,"Iceland",2.42045,,,0.23455,,
20152020,"2015 - 2020",356,"India",4.34595,,,3.20973,,
20152020,"2015 - 2020",360,"Indonesia",4.02945,,,3.0234,,
20152020,"2015 - 2020",960,"Indonesia (...2002)",,,"Not applicable",,,"Not applicable"
20152020,"2015 - 2020",364,"Iran (Islamic Republic of)",1.1131,,,-0.11083,,
20152020,"2015 - 2020",368,"Iraq",1.57768,,,-0.72032,,
20152020,"2015 - 2020",372,"Ireland",6.68494,,,5.43144,,
20152020,"2015 - 2020",376,"Israel",3.28532,,,1.4701,,
20152020,"2015 - 2020",380,"Italy",-0.43348,,,-0.22226,,
20152020,"2015 - 2020",388,"Jamaica",-0.38215,,,-0.56935,,
20152020,"2015 - 2020",392,"Japan",-0.06482,,,0.07914,,
20152020,"2015 - 2020",400,"Jordan",1.50617,,,-0.96639,,
20152020,"2015 - 2020",398,"Kazakhstan",3.40889,,,1.87703,,
20152020,"2015 - 2020",404,"Kenya",4.04846,,,1.92321,,
20152020,"2015 - 2020",296,"Kiribati",0.50694,,,-1.00938,,
20152020,"2015 - 2020",412,"Kosovo",3.03657,,,3.30147,,
20152020,"2015 - 2020",414,"Kuwait",-1.51232,,,-4.39423,,
20152020,"2015 - 2020",417,"Kyrgyzstan",2.41717,,,0.3137,,
20152020,"2015 - 2020",418,"Lao People's Dem. Rep.",5.89379,,,4.27149,,
20152020,"2015 - 2020",428,"Latvia",1.72305,,,2.52912,,
20152020,"2015 - 2020",422,"Lebanon",-5.80939,,,-3.28916,,
20152020,"2015 - 2020",426,"Lesotho",-2.01904,,,-3.19773,,
20152020,"2015 - 2020",430,"Liberia",-0.13752,,,-2.10379,,
20152020,"2015 - 2020",434,"Libya",0.47973,,,-1.04612,,
20152020,"2015 - 2020",438,"Liechtenstein",1.27083,,,0.54451,,
20152020,"2015 - 2020",440,"Lithuania",3.41662,,,4.25004,,
20152020,"2015 - 2020",442,"Luxembourg",1.84803,,,-0.20086,,
20152020,"2015 - 2020",450,"Madagascar",2.20195,,,-0.42032,,
20152020,"2015 - 2020",454,"Malawi",6.01329,,,3.21227,,
20152020,"2015 - 2020",458,"Malaysia",3.35845,,,1.66821,,
20152020,"2015 - 2020",462,"Maldives",0.51478,,,-2.63706,,
20152020,"2015 - 2020",466,"Mali",6.05685,,,2.81358,,
20152020,"2015 - 2020",470,"Malta",5.15755,,,1.89862,,
20152020,"2015 - 2020",584,"Marshall Islands",4.28406,,,7.11167,,
20152020,"2015 - 2020",478,"Mauritania",3.88648,,,0.84825,,
20152020,"2015 - 2020",480,"Mauritius",0.83019,,,0.97271,,
20152020,"2015 - 2020",484,"Mexico",-0.16882,,,-1.09296,,
20152020,"2015 - 2020",583,"Micronesia (Federated States of)",0.8031,,,0.40904,,
20152020,"2015 - 2020",492,"Monaco",0.73137,,,0.00951,,
20152020,"2015 - 2020",496,"Mongolia",4.04193,,,1.96696,,
20152020,"2015 - 2020",499,"Montenegro",1.28746,,,1.95989,,
20152020,"2015 - 2020",500,"Montserrat",3.50892,,,4.25456,,
20152020,"2015 - 2020",504,"Morocco",2.57961,,,1.44646,,
20152020,"2015 - 2020",508,"Mozambique",2.51125,,,-0.48236,,
20152020,"2015 - 2020",104,"Myanmar",3.77764,,,3.01433,,
20152020,"2015 - 2020",516,"Namibia",-1.3504,,,-4.05417,,
20152020,"2015 - 2020",520,"Nauru",1.03114,,,-0.21322,,
20152020,"2015 - 2020",524,"Nepal",5.17568,,,4.41953,,
20152020,"2015 - 2020",528,"Netherlands (Kingdom of the)",1.4525,,,0.82852,,
20152020,"2015 - 2020",530,"Netherlands Antilles",,,"Not applicable",,,"Not applicable"
20152020,"2015 - 2020",540,"New Caledonia",-0.23216,,,-0.28826,,
20152020,"2015 - 2020",554,"New Zealand",3.12329,,,1.19955,,
20152020,"2015 - 2020",558,"Nicaragua",-0.13393,,,-1.43451,,
20152020,"2015 - 2020",562,"Niger",5.6762,,,2.07531,,
20152020,"2015 - 2020",566,"Nigeria",0.68328,,,-1.61526,,
20152020,"2015 - 2020",807,"North Macedonia",1.58049,,,2.72228,,
20152020,"2015 - 2020",578,"Norway",1.01074,,,0.29389,,
20152020,"2015 - 2020",512,"Oman",0.35156,,,-1.17077,,
20152020,"2015 - 2020",582,"Pacific Islands, Trust Territory",,,"Not applicable",,,"Not applicable"
20152020,"2015 - 2020",586,"Pakistan",3.91943,,,2.29945,,
20152020,"2015 - 2020",585,"Palau",-1.90986,,,-1.92799,,
20152020,"2015 - 2020",591,"Panama",1.03534,,,-0.59682,,
20152020,"2015 - 2020",590,"Panama, excluding Canal Zone",,,"Not applicable",,,"Not applicable"
20152020,"2015 - 2020",598,"Papua New Guinea",2.04826,,,-0.28913,,
20152020,"2015 - 2020",600,"Paraguay",2.29829,,,0.88345,,
20152020,"2015 - 2020",604,"Peru",0.99095,,,-0.568,,
20152020,"2015 - 2020",608,"Philippines",4.11001,,,2.82101,,
20152020,"2015 - 2020",616,"Poland",3.82136,,,3.86813,,
20152020,"2015 - 2020",620,"Portugal",1.16979,,,1.17362,,
